giornata,team_1,team_2
1,Citizens Kane,Bayern Minchien
1,US Teria,Schroedingers Cats
1,Aston Birra,Canagliari
1,Associazione Calcio Frankental,Bollito misto
1,Football Club Internazionale Frankental,Hortomusismo FC
3,Citizens Kane,Hortomusismo FC
3,US Teria,Bollito misto
3,Aston Birra,Schroedingers Cats
3,Bayern Minchien,Canagliari
3,Football Club Internazionale Frankental,Associazione Calcio Frankental
5,Citizens Kane,Associazione Calcio Frankental
5,US Teria,Football Club Internazionale Frankental
5,Schroedingers Cats,Canagliari
5,Aston Birra,Bollito misto
5,Bayern Minchien,Hortomusismo FC
7,Citizens Kane,US Teria
7,Schroedingers Cats,Bollito misto
7,Aston Birra,Football Club Internazionale Frankental
7,Bayern Minchien,Associazione Calcio Frankental
7,Hortomusismo FC,Canagliari
9,Schroedingers Cats,Football Club Internazionale Frankental
9,Aston Birra,Citizens Kane
9,Canagliari,Bollito misto
9,Bayern Minchien,US Teria
9,Hortomusismo FC,Associazione Calcio Frankental
11,Citizens Kane,Bollito misto
11,Schroedingers Cats,US Teria
11,Associazione Calcio Frankental,Bayern Minchien
11,Canagliari,Aston Birra
11,Hortomusismo FC,Football Club Internazionale Frankental
13,Hortomusismo FC,Citizens Kane
13,Canagliari,Schroedingers Cats
13,Football Club Internazionale Frankental,Aston Birra
13,US Teria,Associazione Calcio Frankental
13,Bayern Minchien,Bollito misto
15,Citizens Kane,Schroedingers Cats
15,Aston Birra,Hortomusismo FC
15,Canagliari,Bayern Minchien
15,Football Club Internazionale Frankental,US Teria
15,Bollito misto,Associazione Calcio Frankental
17,Citizens Kane,Aston Birra
17,US Teria,Canagliari
17,Schroedingers Cats,Associazione Calcio Frankental
17,Hortomusismo FC,Bayern Minchien
17,Football Club Internazionale Frankental,Bollito misto
19,Canagliari,US Teria
19,Citizens Kane,Aston Birra
19,Football Club Internazionale Frankental,Bollito misto
19,Bayern Minchien,Schroedingers Cats
19,Associazione Calcio Frankental,Hortomusismo FC
21,Canagliari,Hortomusismo FC
21,Citizens Kane,Schroedingers Cats
21,Football Club Internazionale Frankental,Aston Birra
21,US Teria,Bollito misto
21,Associazione Calcio Frankental,Bayern Minchien
23,Canagliari,Bayern Minchien
23,Citizens Kane,Associazione Calcio Frankental
23,Aston Birra,Bollito misto
23,Football Club Internazionale Frankental,Schroedingers Cats
23,US Teria,Hortomusismo FC
25,Canagliari,Citizens Kane
25,Aston Birra,Schroedingers Cats
25,Football Club Internazionale Frankental,Associazione Calcio Frankental
25,US Teria,Bayern Minchien
25,Hortomusismo FC,Bollito misto
27,Aston Birra,Associazione Calcio Frankental
27,Football Club Internazionale Frankental,Canagliari
27,Bollito misto,Schroedingers Cats
27,US Teria,Citizens Kane
27,Hortomusismo FC,Bayern Minchien
29,Canagliari,Schroedingers Cats
29,Aston Birra,Citizens Kane
29,Bayern Minchien,US Teria
29,Bollito misto,Football Club Internazionale Frankental
29,Hortomusismo FC,Associazione Calcio Frankental
31,Hortomusismo FC,Canagliari
31,Bollito misto,Aston Birra
31,Associazione Calcio Frankental,Football Club Internazionale Frankental
31,Citizens Kane,Bayern Minchien
31,US Teria,Schroedingers Cats
33,Canagliari,Aston Birra
33,Football Club Internazionale Frankental,Hortomusismo FC
33,Bollito misto,US Teria
33,Associazione Calcio Frankental,Citizens Kane
33,Schroedingers Cats,Bayern Minchien
35,Canagliari,Football Club Internazionale Frankental
35,Citizens Kane,Bollito misto
35,Aston Birra,Bayern Minchien
35,Hortomusismo FC,US Teria
35,Associazione Calcio Frankental,Schroedingers Cats
2,Schroedingers Cats,Citizens Kane
2,Bollito misto,Football Club Internazionale Frankental
2,Canagliari,Associazione Calcio Frankental
2,Bayern Minchien,Aston Birra
2,Hortomusismo FC,US Teria
