"id","name","points_1","points_2","points_3","points_4","points_5","points_6","points_7","points_8","points_9","points_10","points_11","points_12","points_13","points_14","points_15","points_16","points_17","points_18","points_19","points_20","points_21","points_22","points_23","points_24","points_25","points_26","points_27","points_28","points_29","points_30","points_31","points_32","points_33","points_34","points_35","points_36","Total"
0,"Citizens Kane",67.5,74.5,60.5,76,63,76.5,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418
1,"US Teria",70.5,74,69.5,74.5,70.5,69.5,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.5
2,"Aston Birra",86,72,75,66.5,63.5,73,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436
3,"Associazione Calcio Frankental",75.5,76,70.5,65,70,96,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443
4,"Football Club Internazionale Frankental",80.5,81.5,70,73.5,75.5,59,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440
5,"Bayern Minchien",64,67.5,72.5,68.5,65.5,73,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411
6,"Schroedingers Cats",74.5,79.5,51.5,68,71.5,77,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422
7,"Canagliari",60.5,76.5,72.5,74,73,84.5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441
8,"Bollito misto",61.5,62.5,69,73,89,72,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427
9,"Hortomusismo FC",91.5,70.5,66.5,77.5,74,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447
